PACKAGE,ID,NAME,SERVICE,CHECKID,TEST_PASSED,"VALUE",IGNORE_FAILURE,RAGSTATUS
AcmeLogging,SP1,Stateless,Acme.logging.impl.failure:mapLogRecord,SP1.1,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file:doLogRecord,SP1.2,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.init:shutdown,SP1.3,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.init:startup,SP1.4,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.log4j2:getLogConfigLocation,SP1.5,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.log4j2:initLogConfiguration,SP1.6,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.log4j2:logRecord,SP1.7,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.log4j2:shutdown,SP1.8,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file:mapLogRecord,SP1.9,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.ui:getLogConfig,SP1.10,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.file.ui:setLogConfig,SP1.11,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.logRecord:createLogRecord,SP1.12,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.server:debug,SP1.13,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.server:error,SP1.14,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.server:info,SP1.15,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.server:log,SP1.16,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.server:warn,SP1.17,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:getDuration,SP1.18,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:getThreadVariable,SP1.19,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:initRequestConsumerHandler,SP1.20,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:initRequestHandler,SP1.21,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:initResponseConsumerHandler,SP1.22,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:initResponseHandler,SP1.23,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:setMillisEntry,SP1.24,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.threadlocal:setThreadVariable,SP1.25,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.uem:doLogRecord,SP1.26,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.uem:mapLogRecord,SP1.27,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.uem:mapLogRecordSeverityToUemSeverity,SP1.28,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:appendCorrelationID,SP1.29,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:getAuthUserID,SP1.30,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:getCallStack,SP1.31,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:getError,SP1.32,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:getHttpHeaderValue,SP1.33,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:getServerName,SP1.34,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:getTopLevelService,SP1.35,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:isBlank,SP1.36,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.impl.util:mapString,SP1.37,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.pub.all:log,SP1.38,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.pub.all:logEntry,SP1.39,true,"true",false,1
AcmeLogging,SP1,Stateless,Acme.logging.pub.all:logError,SP1.40,true,"true",false,1
